title,date,author_organization,geography_focus,type,url,abstract,focal_point,email,problem_addressed,solution,ai_methods,value_added,keywords,summary,sdgs,cgiar_center,impact_area,Main Author,Corresponding Authors,CGIAR Main Center
Methodologies for researching feminisation of agriculture what do they tell us?,2021,"Farnworth, Cathy Rozel; Lecoutere, Els; GaliÃ¨, Alessandra; Van Campenhout, Bjorn; Elias, MarlÃ¨ne; Ihalainen, Markus; Roeven, Lara; Bharati, Preeti; Valencia, Ana Maria Paez; Crossland, Mary; Vinceti, Barbara; Monterroso, Iliana",No Data,Working Paper,https://hdl.handle.net/10568/143431,"An increasing body of literature suggests that agriculture is â€œfeminizingâ€ in many low and middle-income countries. Definitions of feminisation of agriculture vary, as do interpretations of what drives the expansion of womenâ€™s roles in agriculture over time. Understanding whether, how, and why feminisation of agriculture is occurring, and finding ways to properly understand and document this process, requires effective research methodologies capable of producing nuanced data. This article builds on five research projects that set out to deepen narratives of feminisation of agriculture by empirically exploring the dynamics and impacts of diverse processes of feminisationâ€”or masculinisationâ€”of agriculture on gender relations in agriculture and food systems. To contribute to the development of effective research methodologies, the researchers working on these projects associate the insights they have derived in their empirical research with the methodologies they have used. They reflect on how their methodological innovations enabled them to obtain new, or more nuanced, insights into processes of feminisation of agriculture. A first insight is that the definition of â€˜feminisation of agricultureâ€™ is a decisive factor in determining the evidence we produce on the process. Second, the feminisation of agriculture should be understood as a nonlinear continuum. Research methodologies need to be capable of capturing dynamics, complexity, as well as multiple and diverse contextâ€”and timeâ€”specific drivers. Third, bias in data can arise from gender norms which mediate whether women are acknowledged by wider society as farmers in their own right. Such norms may result in significant underestimations of womenâ€™s roles in agriculture. This observation warrants a critical awareness that data used to measure or proxy aspects of feminisation of agriculture may reflect such biases. Finally, some research methodologies can be useful to identify and leverage entry points to support womenâ€™s agency and empowerment in processes of feminisation of agriculture.",No Data,i.monterroso@cgiar.org,How will mechanizing mung bean harvesting affect women hired laborers in Myanmar and Bangladesh?,Mechanized harvesting of mungbean,Machine Learning; Machine Learning; Deep Learning; Ml; Machine Learning; Llm; No Data; Llm; Nlp,promoted jointly decided adoption of practices but also reduced menâ€™s unilateral decision-making,gender; women's empowerment; research; agriculture; empowerment; feminization; methodology; women,"""This publication explores the dynamics of gender participation in agriculture, emphasizing the biases in recognizing women's roles based on gender norms and societal perceptions. It highlights the need for tailored research methodologies to uncover the true extent of women's involvement in agricultural labor and decision-making, advocating for critical awareness of biases in data collection and interpretation.""",SDG 1; SDG 2; No Data; SDG 8; SDG 9; SDG 12; SDG 13; SDG 14; SDG 15; SDG 17; SDG 5; SDG 10,ILRI,No Data,"Farnworth, Cathy Rozel","Lecoutere, Els; GaliÃ¨, Alessandra; Van Campenhout, Bjorn; Elias, MarlÃ¨ne; Ihalainen, Markus; Roeven, Lara; Bharati, Preeti; Valencia, Ana Maria Paez; Crossland, Mary; Vinceti, Barbara; Monterroso, Iliana",IFPRI
"Digital tools and agricultural market transformation in Africa: Why are they not at scale yet, and what will it take to get there?",2021,"Abay, Kibrom A.; Abate, Gashaw T.; Chamberlin, Jordan; Kassim, Yumna; Spielman, David J.",Ethiopia,Working Paper,https://hdl.handle.net/10568/143413,"Despite enthusiasm on the potential of digital innovations to transform agricultural markets in Africa, progress made thus far has been limited to small-scale experiments that often fail to scale up. Realizing the full potential of digital innovationsâ€”tools, technologies, applications, and servicesâ€”in Africa requires not just further development of these solutions at meaningful scales, but also more nuanced evidence from both successful and unsuccessful scaling efforts. This paper reviews the theoretical and empirical evidence on the transformative potential of digital innovations for African agricultural markets with an in-depth examination of solutions that have been rolled out to date in the continent. Specifically, the review addresses the following questions: (i) how can digital innovations improve the functioning of agricultural markets in Africa? (ii) what explains the apparent failure of most pilots to scale up? (iii) what is required to realize their full potential? and (iv) what are the emerging risks and opportunities associated with these digital innovations for agricultural marketing? Although our review of the landscape and literature on market-focused digital innovations in Africa identifies several reasons to remain optimistic, the prevailing disconnect between pilots and scale-ups merits further evaluation. In particular, there is a need for more systematic assessments of both successes and failures at different stages of piloting and scaling of digital solutions.",Kibrom A. Abay,K.Abay@cgiar.org,Market failures that arise because of information asymmetry or increasingly high transaction costs.,Digitally enabled tools to deliver market information and advisories.,Machine Learning; Machine Learning; Deep Learning; Ml; Machine Learning; Llm; No Data; Llm; Nlp,faster and more efficient scaling of marketing tools that can significantly improve the livelihoods of Africaâ€™s smallholder farmers,innovation; digital divide; market information; households; welfare; social protection; capacity development; agriculture; markets; food security; risk; market information services; social safety nets; resilience; digital technology; retail markets,"The document discusses the development and implementation of digitally enabled tools and platforms to provide market information and advisory services in agriculture. These initiatives aim to address market failures caused by information asymmetry and high transaction costs. Various examples of tools and platforms from different countries are provided, illustrating the diverse approaches taken to enhance market linkages and access to agricultural information.",SDG 1; SDG 2; No Data; SDG 8; SDG 9; SDG 12; SDG 13; SDG 14; SDG 15; SDG 17; SDG 5; SDG 10,ILRI,No Data,"Abay, Kibrom A.","Abate, Gashaw T.; Chamberlin, Jordan; Kassim, Yumna; Spielman, David J.",IFPRI
Presentations for Informing Economic Growth and Food Security Opportunities in Papua New Guinea,2025,"Mukerjee, Rishabh; SikasIha, Helmtrude; Pepae, Sanja; Konabe, Brown; Thurlow, James; Gimiseve, Harry; Schmidt, Emily; Thomas, Timothy S.; Koima, Joe",No Data,Presentation,https://hdl.handle.net/10568/173728,No Data,Emily Schmidt,No Data,"Approximately 43% of the rural sample live below the poverty line, unable to meet food and other basic non-food needs",No Data,Machine Learning; Machine Learning; Deep Learning; Ml; Machine Learning; Llm; No Data; Llm; Nlp,Improved market access is key to unlocking greater household incomes,food security,"This publication presents an analysis of poverty in rural Papua New Guinea based on the 2023 PNG Rural Household Survey. It reveals that a significant percentage of the rural population lives below the poverty line, highlighting the higher cost of maintaining a healthy diet compared to a calorie-adequate diet. The study identifies key factors such as education, market access, and business ownership that influence rural welfare and consumption expenditure, emphasizing the need for improved access to markets and support for rural business ownership.",SDG 1; SDG 2; No Data; SDG 8; SDG 9; SDG 12; SDG 13; SDG 14; SDG 15; SDG 17; SDG 5; SDG 10,IFPRI,No Data,"Mukerjee, Rishabh","SikasIha, Helmtrude; Pepae, Sanja; Konabe, Brown; Thurlow, James; Gimiseve, Harry; Schmidt, Emily; Thomas, Timothy S.; Koima, Joe",IFPRI
The role of poultry transfers in diet diversity: A cluster randomized intent to treat analysis,2022,"Alderman, Harold; Gilligan, Daniel O.; Leight, Jessica; Mulford, M.; Tambet, Heleene",Ethiopia,Journal Article,https://hdl.handle.net/10568/126897,"Poultry has gained renewed attention as a promising value chain for women because it is an asset that is widely accessible to women, has low start-up costs, and provides a good source of nutritious animal-sourced foods for children in chicken meat and, especially, eggs. The current study presents evidence from an experimental intervention that randomly provided women either a poultry package transfer of vaccinated, improved-breed chickens and related inputs, or a cash grant of equivalent value within a sample of households participating in a social safety net program. These transfers were embedded in a set of intensive livelihood and enhanced nutrition interventions as part of a broader experiment in rural Ethiopia. We assess the impact of the poultry package transfer as well as the enhanced nutrition intervention on the consumption of eggs by both children and adult women. We find that the poultry transfer increased the frequency of egg consumption as well as the sale of eggs, falling between the extreme of an autarkic household and one in which production decisions are fully separable from consumption choices.",No Data,No Data,The impact of nutrition-sensitive interventions and programmes on improving maternal and child nutrition.,Nutrition-sensitive agriculture.,Machine Learning; Machine Learning; Deep Learning; Ml; Machine Learning; Llm; No Data; Llm; Nlp,improve diet diversity,poultry; dietary diversity; animal source foods; randomized controlled trial; animal products; randomized controlled trials; nutrition; livelihoods; diet quality; diet; social safety nets; animal production,"This collection of studies examines various nutrition-sensitive interventions, including livestock donation programs and agriculture, and their impact on child growth and nutrition outcomes in countries like Ethiopia and Rwanda. Key insights on how these interventions facilitate improvements in maternal and child nutrition are highlighted.",SDG 1; SDG 2; No Data; SDG 8; SDG 9; SDG 12; SDG 13; SDG 14; SDG 15; SDG 17; SDG 5; SDG 10; SDG 3,IFPRI,"Nutrition, health and food security","Alderman, Harold","Gilligan, Daniel O.; Leight, Jessica; Mulford, M.; Tambet, Heleene",IFPRI
International research symposium on agricultural greenhouse gas mitigation: From research to implementation: Book of abstracts,2024,"Heidecke, Claudia; Clark, Harry; Verchot, Louis; Feike, Til; Grassnick, Nina; Reisinger, Andy; Ringler, Claudia; Runge, Tania; Zhang, Wei",No Data,Working Paper,https://hdl.handle.net/10568/162955,"Total net GHG emissions from Agriculture, Forestry and Other Land Use (AFOLU) averaged around 12.0 GtCO2eq per year during 2007â€“2016. Approximately 23% of total anthropogenic greenhouse gas emissions derive from AFOLU, while the global food system contributes nearly one third of global greenhouse gas emissions (IPCC 2023). At the same time as being a major emitter, the global food system is called upon to produce approximately 40% more and more diverse foods during 2020 to 2050 to improve the food security, diets and human health of a larger, more urbanized, and better off (but less equal) larger population. With two thirds or more of populations in low- and middle-income countries (LMICs) unable to afford and access healthy diets, there is a particular need to increase production of animal-source foods, fruits and vegetables. At the same time, the productivity of agri-food systems is increasingly impacted by climate change, contributing to a negative feedback loop of climate change induced production expansions that, in turn, fuel climate change.
 
 This symposium was held October 21-24, 2024 in Berlin, Germany.",Michael Macleod,btmagadia@up.edu.ph,The agricultural sector in Finland produces 13% of total GHG emissions and it is the largest source of anthropogenic N2O emissions.,Cultivation of deep-rooted perennial grasses and introducing N2-fixing perennial legumes into agricultural grasslands.,Machine Learning; Machine Learning; Deep Learning; Ml; Machine Learning; Llm; No Data; Llm; Nlp,Climate-smart development of grass cultivation is a significant part of Finland's carbon neutrality goal in 2035.,capacity development; cultural factors; emissions from agriculture; greenhouse gases,"This research explores GHG exchange in grasslands cultivated with deep-rooted perennial grasses and N2-fixing legumes in Finland. It highlights the potential of agricultural practices to mitigate GHG emissions and contribute to carbon neutrality goals. Measurements were conducted over two years, analyzing the impact of different functional groups of forage species on GHG exchange.",SDG 1; SDG 2; No Data; SDG 8; SDG 9; SDG 12; SDG 13; SDG 14; SDG 15; SDG 17; SDG 5; SDG 10,CIAT,Climate adaptation and mitigation; Environmental health and biodiversity,"Heidecke, Claudia","Clark, Harry; Verchot, Louis; Feike, Til; Grassnick, Nina; Reisinger, Andy; Ringler, Claudia; Runge, Tania; Zhang, Wei",IFPRI
Navigating Sudan's conflict: Research insights and policy implications: Proceedings of a conference,2024,"Ahmed, Mosab O. M.; Abushama, Hala; Siddig, Khalid; Kirui, Oliver K.; Dorosh, Paul A.; Taffesse, Alemayehu Seyoum",Sudan,Conference Proceedings,https://hdl.handle.net/10568/140775,"This report synthesizes the key discussions and outcomes of the â€œNavigating Sudanâ€™s Conflict: Research Insights and Policy Implicationsâ€ conference, held on March 5, 2024, in Nairobi, Kenya. Convening a diverse group of experts in research, development, and humanitarian efforts, the conference aimed to explore actionable solutions for the socioeconomic challenges triggered by Sudanâ€™s ongoing conflict. Participants at the conference delved into the conflictâ€™s adverse impacts on agriculture, markets, employment, and food security, as well as its wider regional impacts. Notably, the conference findings underscore the urgent need for supporting smallholder farmers, stabilizing markets, generating employment opportunities, and enhancing agricultural productivity within a comprehensive recovery strategy. Furthermore, conference participants stressed the importance of innovative data gathering, collaborative policy formulation, international support, and coordination to ensure effective interventions. This report succinctly presents the interventions discussed in the conferenceâ€™s research and panel discussion sessions, particularly the pivotal insights offered in each to guide policy that will build peace, strengthen resilience, and relaunch and accelerate human and economic development efforts in Sudan.","Guo, Z.",ifpri-sudan@cgiar.org,Ongoing conflict affecting economic activities in Sudan,Monitoring Indicators of Economic Activities in Sudan Using Satellite Data,Machine Learning; Machine Learning; Deep Learning; Ml; Machine Learning; Llm; No Data; Llm; Nlp; Nlp; Computer Vision,advocating for concerted efforts to tackle immediate challenges and mitigate the impacts of conflict while also paving the way for economic development,armed conflicts; data collection; policy innovation; food security; agriculture; resilience; markets,"The publication explores the use of satellite data to monitor economic activities in Sudan amid ongoing conflict, providing insights into the impacts of the crisis on the economy. It discusses the methodology, findings, and implications for policy and humanitarian response in the region.",SDG 1; SDG 2; No Data; SDG 8; SDG 9; SDG 12; SDG 13; SDG 14; SDG 15; SDG 17; SDG 5; SDG 10,IFPRI,"Climate adaptation and mitigation; Gender equality, youth and social inclusion; Nutrition, health and food security; Poverty reduction, livelihoods and jobs","Ahmed, Mosab O. M.","Abushama, Hala; Siddig, Khalid; Kirui, Oliver K.; Dorosh, Paul A.; Taffesse, Alemayehu Seyoum",IFPRI
Can a light-touch graduation model enhance livelihood outcomes? Evidence from Ethiopia,2023,"Leight, Jessica; Alderman, Harold; Gilligan, Daniel O.; Hidrobo, Melissa; Mulford, Michael",Ethiopia,Working Paper,https://hdl.handle.net/10568/138875,"In recent years, a growing literature has examined the potential of multifaceted, intensive â€œgraduation modelâ€ interventions that simultaneously address multiple barriers constraining householdsâ€™ exit from poverty. In this paper, we present new evidence from a randomized trial of a lighter-touch graduation model implemented in rural Ethiopia. The primary experimental arms are a bundled intervention including a productive transfer valued at $374 (randomly assigned to be cash or an equivalent value in poultry), training, and savings groups; In recent years, a growing literature has examined the potential of multifaceted, intensive â€œgraduation modelâ€ interventions that simultaneously address multiple barriers constraining householdsâ€™ exit from poverty. In this paper, we present new evidence from a randomized trial of a lighter-touch graduation model implemented in rural Ethiopia. The primary experimental arms are a bundled intervention including a productive transfer valued at $374 (randomly assigned to be cash or an equivalent value in poultry), training, and savings groups; a simpler intervention including training and savings groups only; and a control arm. We find that three years post-baseline, the intervention inclusive of the transfer leads to some increases in assets, savings, and cash income from livestock, though there is no shift in consumption or household food security; these effects are consistent regardless of the modality of the transfer (cash versus poultry). The effects of training and savings groups alone are minimal.; a simpler intervention including training and savings groups only; and a control arm. We find that three years post-baseline, the intervention inclusive of the transfer leads to some increases in assets, savings, and cash income from livestock, though there is no shift in consumption or household food security; these effects are consistent regardless of the modality of the transfer (cash versus poultry). The effects of training and savings groups alone are minimal.",Not specified,j.leight@cgiar.org,Households in our sample were buffeted by numerous weather and man-made shocks.,randomized trial,Machine Learning; Machine Learning; Deep Learning; Ml; Machine Learning; Llm; No Data; Llm; Nlp,increase in livestock related income and access to credit,poverty; cash transfers; poultry; livelihoods; food security; livestock; savings group,"This publication discusses the economic challenges faced by rural households in Ethiopia, highlighting declines in livestock assets, losses from desert locusts and floods, and the impact of the COVID-19 pandemic on agricultural input prices. Despite macroeconomic growth, rural populations have seen stagnant or negative consumption growth, with few sustainable income alternatives outside agriculture. The findings address the limitations of social protection programs in effectively alleviating poverty for rural households amid ongoing shocks and economic difficulties.",SDG 1; SDG 2; No Data; SDG 8; SDG 9; SDG 12; SDG 13; SDG 14; SDG 15; SDG 17; SDG 5; SDG 10,IFPRI,"Poverty reduction, livelihoods and jobs","Leight, Jessica","Alderman, Harold; Gilligan, Daniel O.; Hidrobo, Melissa; Mulford, Michael",IFPRI
Shrimp value chains in Bangladesh: A scoping study of possible research interventions,2023,"Kabir, Razin; Narayanan, Sudha; Belton, Ben; Hernandez, Ricardo; Haque, Mohammad Mahfujul",Bangladesh,Brief,https://hdl.handle.net/10568/131850,"Shrimp is Bangladeshâ€™s main agricultural export and makes a substantial contribution to the economy of southern Bangladesh, but the sector has a checkered history. Bangladeshâ€™s shrimp production and exports have been in steady decline, since peaking in the early 2010â€™s. Most shrimp exports from Bangladesh are used by the food service and niche ethnic markets in Europe.
  The complex nature of shrimp supply chains in Bangladesh, comprised of hundreds of thousands of small polyculture farms and tens of thousands of small traders, make it difficult to implement tracea bility and certification initiatives â€“ now a prerequisite for entry into most supermarket supply chains.
 This report provides an overview of the sector and the challenges it faces, drawing on secondary and survey data, reviews of government reports and academic literature. We also report the findings of an expert consultation conducted to identify key constraints and potential solutions.
 The consensus among industry stakeholders who were part of the expert consultations is that issues related to the supply and quality of shrimp seed and pond management practices represent some of the most pressing, yet relatively simple-to-solve challenges currently faced by the sector. This would serve as the foundation for establishing traceability and certification processes. Previous interventions aimed at upgrading production practices (such as promoting stocking of disease-free shrimp seed) and facilitating disintermediation and transparency in the supply chain (such as by establishing producer groups, shrimp collection centers, and contracts with processors), have met with limited success. We outline potential interventions and partners that might offer scalable solutions enabling small shrimp farmers to access global markets.",Razin Iqbal Kabir,ifpri@cgiar.org,issues related to the supply and quality of shrimp seed,"Introducing systems to ensure traceability/accreditation for disease free shrimp PL; Assessing WTP for disease free PL, with or without accreditation; Assessing effects of disease-free PL use on disease/yield/incomes",Machine Learning; Machine Learning; Deep Learning; Ml; Machine Learning; Llm; No Data; Llm; Nlp,"Establishing 600 shrimp production clusters totaling around 15,000 marginal shrimp farmers.",shrimp; agriculture; exports; supply chains; standardization; quality; production; small enterprises; shrimp culture,"This publication discusses the CGIAR Research Initiative on Rethinking Food Markets, exploring the interlinkages between seafood market dynamics and sustainable practices, particularly emphasizing the context of Bangladesh's coastal and marine fisheries. It is part of broader efforts aimed at addressing food security and enhancing agricultural systems.",SDG 1; SDG 2; No Data; SDG 8; SDG 9; SDG 12; SDG 13; SDG 14; SDG 15; SDG 17; SDG 5; SDG 10,IFPRI,"Poverty reduction, livelihoods and jobs","Kabir, Razin","Narayanan, Sudha; Belton, Ben; Hernandez, Ricardo; Haque, Mohammad Mahfujul",IFPRI
Gendered patterns of work and time use: A review of methods and innovations,2021,"Chakraborty, Ananya; Ravula, Padmaja; Seymour, Greg; Slavchevska, Vanya",No Data,Working Paper,https://hdl.handle.net/10568/115687,"This decade has been marked by multiple, often overlapping, crises. The COVID-19 pandemic, natural disasters, and the ongoing war in Ukraine have all threatened the fabric of our global food systems. But opportunities can be found amid crises, and the worldâ€™s food systems have demonstrated surprising resilience. With new evidence on what works, now is the time to rethink how we address food crises. Better prediction, preparation, and resilience building can make future crises less common and less devastating, and improved responses can contribute to greater food security, better nutrition, and sustainable livelihoods.
 
 This record also includes the following synopsis translated into Arabic, Chinese, French, and Spanish:
 International Food Policy Research Institute (IFPRI). 2023. Global food policy report 2023: Rethinking food crisis responses: Synopsis. Washington, DC: International Food Policy Research Institute (IFPRI). https://doi.org/10.2499/9780896294431
 
 International Food Policy Research Institute (IFPRI). 2023. Global food policy report 2023: Rethinking food crisis responses: Synopsis [in Arabic]. Washington, DC: International Food Policy Research Institute (IFPRI). https://doi.org/10.2499/9780896294462
 
 International Food Policy Research Institute (IFPRI). 2023. Global food policy report 2023: Rethinking food crisis responses: Synopsis [in Chinese]. Washington, DC: International Food Policy Research Institute (IFPRI). https://doi.org/10.2499/9780896294455
 
 International Food Policy Research Institute (IFPRI). 2023. Rapport 2023 sur les politiques alimentaires mondiales: Repenser les rÃ©ponses aux crises alimentaires. Washington, DC: International Food Policy Research Institute (IFPRI). https://doi.org/10.2499/9780896294448
 
 International Food Policy Research Institute (IFPRI). 2023. Informe de polÃ­ticas alimentarias mundiales 2023: Repensar las respuestas a las crisis alimentarias. Washington, DC: International Food Policy Research Institute (IFPRI). https://doi.org/10.2499/9780896294486",No Data,No Data,"Transforming the way gender research is done, both within and beyond CGIAR, to kick-start a process of genuine change toward greater gender equality and better lives for smallholder farmers everywhere.",open-source smartphone application TimeTracker offers an innovative approach to self-reported time diaries,Machine Learning; Machine Learning; Deep Learning; Ml; Machine Learning; Llm; No Data; Llm; Nlp,Puts gender equality at the forefront of global agricultural research for development.,innovation; gender; methods; labour; agriculture; time,"The GENDER platform of CGIAR aims to enhance gender equality in agricultural research, focusing on transformative changes for the benefit of smallholder farmers globally. This initiative seeks to advance research methodologies and implementation practices that contribute to improved lives through equitable development in agriculture.",SDG 1; SDG 2; No Data; SDG 8; SDG 9; SDG 12; SDG 13; SDG 14; SDG 15; SDG 17; SDG 5; SDG 10,CGIAR Gender Platform,No Data,"Chakraborty, Ananya","Ravula, Padmaja; Seymour, Greg; Slavchevska, Vanya",IFPRI
Uganda coffee agronomy training: Impact evaluation report,2024,"Hoffmann, Vivian; Murphy, Mike; Harigaya, Tomoko",Uganda,Report,https://hdl.handle.net/10568/149080,"This report describes the methods and findings of a randomized controlled trial evaluating the impact of coffee agronomy training and phone-based advisory services on farmer practices and observed coffee yield. In-person training was provided in randomly selected villages over the course of two years by Hanns R. Neuman Stiftung (HRNS) and TechnoServe in two separate regions of Western Uganda encompassing six districts. Messages reinforcing this training were sent to a subset of farmers in villages where training was offered by Precision Development (PxD), and standalone messages were sent to a subset of farmers in villages where no training was offered. The program period spanned the onset of the COVID-19 pandemic and associated lockdowns, which significantly affected how training could be delivered and likely reduced its impact.",Vivian Hoffmann,v.hoffmann@cgiar.org,"farmers do not keep records of their sales, such data on yields is notoriously unreliable",agronomy training,Machine Learning; Machine Learning; Deep Learning; Ml; Machine Learning; Llm; No Data; Llm; Nlp,can be a cost-effective approach to improving the incomes of smallholder coffee farmers,agronomy; coffee; crop yield; impact assessment; costs,"This publication discusses the impacts of training programs on smallholder coffee farmers, noting that while measured yield gains are modest, the training proves to be a cost-effective method for enhancing farmers' incomes. Returns on investment were estimated between 225% and 269%, emphasizing the long-term benefits of agronomy training despite pandemic-related disruptions affecting program delivery.",SDG 1; SDG 2; No Data; SDG 8; SDG 9; SDG 12; SDG 13; SDG 14; SDG 15; SDG 17; SDG 5; SDG 10,No Data,"Climate adaptation and mitigation; Gender equality, youth and social inclusion; Poverty reduction, livelihoods and jobs","Hoffmann, Vivian","Murphy, Mike; Harigaya, Tomoko",IFPRI
External and internal migration propensity index (MPI) for Honduras: Out-of-sample validation,2024,"Ceballos, Francisco; Hernandez, Manuel A.; Hernandez, Alvaro Espinoza",Honduras,Working Paper,https://hdl.handle.net/10568/168708,"The e-MPI and the i-MPI are tools to objectively estimate the probability that individuals from a given household will, respectively, migrate abroad or migrate domestically in the near future. We use new longitudinal data to test their effectiveness fully out of sample. We find good predictive power of each of these indices in terms of the respective type of migration they attempt to anticipate. Moreover, they perform well against alternative measures, work reasonably well for both rural and urban areas and in departments not included in the original calibration data, and appear to capture distinct aspects around householdsâ€™ decisions to migrate domestically and abroad. Overall, the MPI seems to be an important addition to policymakersâ€™ toolkit.",Francisco Ceballos,f.ceballos@cgiar.org,Tracking indirect questions can successfully inform the probability of migration ex-ante.,MPI as a tool to identify which households within a community are more likely to migrate,Machine Learning; Machine Learning; Deep Learning; Ml; Machine Learning; Llm; No Data; Llm; Nlp,Identifying groups of households with a higher propensity to migrate.,migration; rural areas; urban areas,"This publication presents the development of the Women's Empowerment Metric for National Statistical Systems (WEMNS) aimed at measuring womenâ€™s empowerment through national surveys. It provides a standardized approach to assess women's empowerment metrics, contributing to better data collection and analysis for informed policy-making. The findings emphasize the importance of accurate measurement in understanding and promoting women's empowerment across different contexts.",SDG 1; SDG 2; No Data; SDG 8; SDG 9; SDG 12; SDG 13; SDG 14; SDG 15; SDG 17; SDG 5; SDG 10,CGIAR,"Poverty reduction, livelihoods and jobs","Ceballos, Francisco","Hernandez, Manuel A.; Hernandez, Alvaro Espinoza",IFPRI
The cluster panacea? An evaluation of three interventions in shrimp value chains in Bangladesh,2024,"Narayanan, Sudha; Belton, Ben; Kabir, Razin; Sakil, Abdul Zabbar; Khan, Asraul Hoque; Hernandez, Ricardo",Bangladesh,Report,https://hdl.handle.net/10568/172964,"Clustering farming has often been proposed as an effective way to overcome the significant transactions costs faced by downstream buyers in interacting and negotiating with many small farmers, while making it easier for extension workers and governments to dispense advice, provide upstream services and inputs. In this study, we evaluate the impact of a set of three initiatives in Bangladesh, implemented by a government department, a private sector processing firm and a not-for-profit industrial advocacy body, all involving clustering contiguous shrimp farm ponds to enable group certification necessary for global market access. We implement a canonical difference-in-differences model using two rounds of surveys of a sample of over 1,222 farmers in 2023 and 2024 to assess the impacts on pond management practices, net profits and any unintended impacts on food security and dietary diversity. Our results suggest that the cluster interventions had impressive impacts on adoption of better farm management practices. However, these do not appear to translate into significant gains in net profits, perhaps because these interventions are still relatively new. Further, it appears that cluster farmers pay a penalty on account of a shift to more intensive cultivation, represented by a loss in species diversity and lower incomes from fish and vegetables. We find that there are no significant spillover effects as yet on shrimp farmers in the same village as the clusters. This study reflects critically on the efficacy of clustering that is presumed to enhance access to global markets.",Sudha Narayanan,S.Narayanan@cgiar.org,"Despite the challenges these pose for rigorous impact evaluation, we believe that studying these different models can produce meaningful and compelling inputs into policy and business decisions.","Matched grant for pond deepening and aggregating a cluster of ponds, uniform practices, buying and selling at one time, intensification, traceability, eventually certification; Cluster approach, arrangement of inputs (feed/seed) on credit for some, knowledge inputs; currently input credit, no contracts yet; Cluster approach, deepening ponds, nursing before stocking, and using SPF PL; cluster-based access to finance.",Machine Learning; Machine Learning; Deep Learning; Ml; Machine Learning; Llm; No Data; Llm; Nlp,No Data,transaction costs; farmers; shrimp culture; food security; profit,"This publication evaluates three interventions in shrimp value chains in Bangladesh, analyzing their impact on various metrics including yield, income, and dietary diversity. The findings indicate significant increases in shrimp yield, commercial feed use, and net incomes, with notable improvements in dietary diversity as well. The research underscores the collaborative efforts of CGIAR and other partners toward enhancing food security and system sustainability in the face of climate challenges.",SDG 1; SDG 2; No Data; SDG 8; SDG 9; SDG 12; SDG 13; SDG 14; SDG 15; SDG 17; SDG 5; SDG 10,IFPRI,"Nutrition, health and food security; Poverty reduction, livelihoods and jobs","Narayanan, Sudha","Belton, Ben; Kabir, Razin; Sakil, Abdul Zabbar; Khan, Asraul Hoque; Hernandez, Ricardo",IFPRI
